"23,Vancouver Canucks,VAN,Canucks,/api/v1/teams/23,""{'id': 5073, 'name': 'Rogers Arena', 'link': '/api/v1/venues/5073', 'city': 'Vancouver', 'timeZone': {'id': 'America/Vancouver', 'offset': -7, 'tz': 'PDT'}}"",Vancouver,1970,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 20, 'teamName': 'Canucks', 'link': '/api/v1/franchises/20'}"",Vancouver"
"24,Anaheim Ducks,ANA,Ducks,/api/v1/teams/24,""{'id': 5046, 'name': 'Honda Center', 'link': '/api/v1/venues/5046', 'city': 'Anaheim', 'timeZone': {'id': 'America/Los_Angeles', 'offset': -7, 'tz': 'PDT'}}"",Anaheim,1993,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 32, 'teamName': 'Ducks', 'link': '/api/v1/franchises/32'}"",Anaheim"
"25,Dallas Stars,DAL,Stars,/api/v1/teams/25,""{'id': 5019, 'name': 'American Airlines Center', 'link': '/api/v1/venues/5019', 'city': 'Dallas', 'timeZone': {'id': 'America/Chicago', 'offset': -5, 'tz': 'CDT'}}"",Dallas,1967,""{'id': 16, 'name': 'Central', 'nameShort': 'CEN', 'link': '/api/v1/divisions/16', 'abbreviation': 'C'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 15, 'teamName': 'Stars', 'link': '/api/v1/franchises/15'}"",Dallas"
"26,Los Angeles Kings,LAK,Kings,/api/v1/teams/26,""{'id': 5081, 'name': 'STAPLES Center', 'link': '/api/v1/venues/5081', 'city': 'Los Angeles', 'timeZone': {'id': 'America/Los_Angeles', 'offset': -7, 'tz': 'PDT'}}"",Los Angeles,1967,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 14, 'teamName': 'Kings', 'link': '/api/v1/franchises/14'}"",Los Angeles"
"28,San Jose Sharks,SJS,Sharks,/api/v1/teams/28,""{'name': 'SAP Center at San Jose', 'link': '/api/v1/venues/null', 'city': 'San Jose', 'timeZone': {'id': 'America/Los_Angeles', 'offset': -7, 'tz': 'PDT'}}"",San Jose,1990,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 29, 'teamName': 'Sharks', 'link': '/api/v1/franchises/29'}"",San Jose"
"29,Columbus Blue Jackets,CBJ,Blue Jackets,/api/v1/teams/29,""{'id': 5059, 'name': 'Nationwide Arena', 'link': '/api/v1/venues/5059', 'city': 'Columbus', 'timeZone': {'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}}"",Columbus,1997,""{'id': 18, 'name': 'Metropolitan', 'nameShort': 'Metro', 'link': '/api/v1/divisions/18', 'abbreviation': 'M'}"",""{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}"",""{'franchiseId': 36, 'teamName': 'Blue Jackets', 'link': '/api/v1/franchises/36'}"",Columbus"
"30,Minnesota Wild,MIN,Wild,/api/v1/teams/30,""{'id': 5098, 'name': 'Xcel Energy Center', 'link': '/api/v1/venues/5098', 'city': 'St. Paul', 'timeZone': {'id': 'America/Chicago', 'offset': -5, 'tz': 'CDT'}}"",Minnesota,1997,""{'id': 16, 'name': 'Central', 'nameShort': 'CEN', 'link': '/api/v1/divisions/16', 'abbreviation': 'C'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 37, 'teamName': 'Wild', 'link': '/api/v1/franchises/37'}"",Minnesota"
"52,Winnipeg Jets,WPG,Jets,/api/v1/teams/52,""{'id': 5058, 'name': 'Bell MTS Place', 'link': '/api/v1/venues/5058', 'city': 'Winnipeg', 'timeZone': {'id': 'America/Winnipeg', 'offset': -5, 'tz': 'CDT'}}"",Winnipeg,2011,""{'id': 16, 'name': 'Central', 'nameShort': 'CEN', 'link': '/api/v1/divisions/16', 'abbreviation': 'C'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 35, 'teamName': 'Jets', 'link': '/api/v1/franchises/35'}"",Winnipeg"
"53,Arizona Coyotes,ARI,Coyotes,/api/v1/teams/53,""{'id': 5043, 'name': 'Gila River Arena', 'link': '/api/v1/venues/5043', 'city': 'Glendale', 'timeZone': {'id': 'America/Phoenix', 'offset': -7, 'tz': 'MST'}}"",Arizona,1979,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 28, 'teamName': 'Coyotes', 'link': '/api/v1/franchises/28'}"",Arizona"
"54,Vegas Golden Knights,VGK,Golden Knights,/api/v1/teams/54,""{'id': 5178, 'name': 'T-Mobile Arena', 'link': '/api/v1/venues/5178', 'city': 'Las Vegas', 'timeZone': {'id': 'America/Los_Angeles', 'offset': -7, 'tz': 'PDT'}}"",Vegas,2016,""{'id': 15, 'name': 'Pacific', 'nameShort': 'PAC', 'link': '/api/v1/divisions/15', 'abbreviation': 'P'}"",""{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}"",""{'franchiseId': 38, 'teamName': 'Golden Knights', 'link': '/api/v1/franchises/38'}"",Vegas"
